陈小强(00:00:01): 小梁主持，小梁主持，小梁主持，
Gavin(01:09:37): 第二个就是他去过非洲，他看过他尽调过。虽然不像专业投资者那样把你扒开来看，但是，他也得去看过，他知道东非洲的市场，他对非洲是有了解的，是有认知的。这两个作为前提条件，然后我们再去筛选。至于说是两个三个打包，只是方式问题？

朱学峰(01:10:04): 没问题，反正我不会给我知道在我们这个团队里面，我去融资的时候，我不会自我设限的，我肯定也有数据没数据，有软件没软件，我肯定是希望尽快能把钱搞进来。

陈德雷(01:10:22): Gavin gavin gavin 有个问题就是我们这两版 ppt 哪一版本是可以分享的？

Gavin(01:10:30): 绿色的最后的版本，等会我改一下图片，我把它发出来，

陈德雷(01:10:36): 你可分享的版本，你可以发到群里面，因为既然大家都要去，全力以赴为第一轮，我们都要不能让老朱一个人扛，我看他最近的频次，

Gavin(01:10:47): 对。

陈小强(01:10:47): 副站长对！

陈德雷(01:10:48): 我看他，我看他弄的我都挺心疼的，这节奏满的一比**。

陈小强(01:10:56): 这样的，我们反正大家各自努力吧，反正不要把压力给到老朱一个人身上，虽然老朱，老朱能力很强！

陈德雷(01:11:04): We can go through left. 

朱学峰(01:11:07): 反正给不给我都会给我自己压力的对的。

陈小强(01:11:12): 好，老周的战斗力也还是 ok 的，杠杠的。

程志斌-永和资本(01:11:14): 那么有，有一个有那么有一个核心问题，有个核心问题，因为之前我跟朱总，在肯尼亚，包括从肯尼亚回来的路上，我就跟他探讨过，就根据我自己的个人的工作经验，你看在肯尼亚的时候，我曾经提议是说，我们首轮融500万，500万我还把它切割成200+300，这样一种模式，

陈德雷(01:11:36): 对。

程志斌-永和资本(01:11:37): 你大，大家还有点印象，因为什么？因为像，初创项目，尤其是海外的，初创项目本身就是说，投资者的信任度就不是太高，因为大家，都会有预期的嘛，你初创可能有这样那问题，甚至说想象不到的问题，再加上。海外的话，他又会信任度，又会再，再去削弱1分，即便是像朱总这样这么强的人脉关系圈的话，都是高净值的，就这样的一些人群，

程志斌-永和资本(01:12:09): 大家在做决策的时候，为什么我那时候讲你1000万跟三五百万是两个量级？他不是成数字上的比例，不是成数字上比例，不是1:2的比例，而可能有可能是一1:5乃至1:10的这样的，概率的问题，

程志斌-永和资本(01:12:25): 大家都有，都有这样的感触，你比方说，老朱他自己也有感触了，你让我看一个项目，我可能七七八八我可能也没有那么100%太确定，我看一个5分到8分的。成功率让我掏个1-2百万，那我就马上就掏了，但是你要让我掏1000万，可能这个事情我就，我就直接就跑掉了，

程志斌-永和资本(01:12:45): 我情愿不趟风险是逻辑。

陈小强(01:12:47): 我来说，

陈小强(01:12:49): 我赞同志斌说的观点，我觉得是这样的，志斌，我来说一下，我是这么来看这个问题的，因为你你谈1000万是融一个人，你明白我的意思，我觉得是这样的。

程志斌-永和资本(01:13:02): 所以后来我跟朱总聊天，是这样聊的，我们俩因为回来之后，当时梁总还没有参与工作嘛，我们俩配合工作的时候，我们俩就这么聊的，我们照着1000万去努力，然后保底500万，

陈小强(01:13:19): 对。

程志斌-永和资本(01:13:20): 500万，到底是一个人还是两个人还是三个人组成不重要了，当然，我们是结合强总你的观点，我们是要尽快的，要融到资，赶快要启动工作，这样一个诉求。

陈小强(01:13:32): 对，我觉得是这样的，我讲一下，这样的，反正大家都在这边，我觉得是这样的，我们也不要给自己设限，说融不到钱，我们公司就不推荐了，小杨来我们工作该推荐，无非我说的直白点，里面就很简单，我这边我们就因为我说的直白一点，我们这边很多公司还是有利润的，我们前期是可以先把工作先启动起来了，我觉得还是什么，不管怎么讲困难肯定很多的，我们之前也聊过问题，很多困难。我觉得什么？大家各自去努力，往前去走，

陈小强(01:14:07): 遇到问题我们及时去调整，

程志斌-永和资本(01:14:07): 对，可能。

程志斌-永和资本(01:14:09): 对，可能需要。

陈小强(01:14:10): 比如说你你们在朱董，因为因为目前来说，现在主力军是朱董，他接触的人比较多了，比如说我们在聊的过程中，那是不是可以，里面就是要有策略的，怎么把1000万调到500万？我们是要以去策略。

程志斌-永和资本(01:14:24): 这么回事，可能需要梁总，再加多，一块工作，这么回事，比方说我们这个业务要做，预算，就最小的启动，财务的预算是多少，比较良性的是多少？比较资源丰富的，

朱学峰(01:14:47): Yes. 

程志斌-永和资本(01:14:47): 那启动多少，但那资源丰富，不用说了，基本上我们要至少要测算出来一个最小启动的，准备金是多少，我跟朱总，

程志斌-永和资本(01:14:57): 可能按今天这样子，朱总也搞过几轮了，他心里面有。直观的感觉了，也就意味着我们下面可能是让投资人组有限合伙，即便哪怕是我们降低到500万的话，他没有什么技术难度，无非就在我们 bp 里面，

程志斌-永和资本(01:15:16): 我们这样写 bp 里面的话，无非10%对应150万美元，那5%就对应这个75万美元，无非就是这样子，

程志斌-永和资本(01:15:25): 反过来说的话。对他比例就这么比例，我们无非就是 bb 上面稍微改一下，改成五，5%嘛，释放5%的股权嘛，仅仅此而已，没有难度，那难度在哪里，我们要充分评估，然后至于，最直观的这一轮工作干下来之后，老朱这种感触会更加，这贴切了，比方说像，王姐那边我们评估下来他大约出个200万，是没问题，可能往上增一增出个300万，你再让他出多，我估计就有非常大的难度。他这个比方200万 ok，我就跟王姐明确说了，我们是要组织。一个有限合伙的份额，总共这么多，我们总共释放这么多，还有其他的朋友想投正在决策中，你要确定的话，我就比方说，代理多少，你你自己报个数。我们组建一个有限合伙，其实这个就是非常灵活的，有开有合，先确认了。然后用王姐这边已经确认了，我们明确的比方说我们签一个 ts，所谓的意向合同 ts 签好之后拿着 ts 再找别人去说事，就容易的多了，那份额本来比方说那到时候我们就这样看，看到底能攒到多少，攒到超过500万，我们就超过500万的话说就照照1000万去做一个。

陈小强(01:15:25): 对是。

程志斌-永和资本(01:16:47): Close，很难，比方说3~4百万就卡点了，那么就暂定目标，就5百万就赶紧该启动工作，启动工作，我个人意见是这样子，这样比较灵活，也比较贴近，现实。

朱学峰(01:17:03): 还有一个，我提一下我的感受，我们在融资的，现在因为我们还没有进入到深水区，现在只在浅表区，愿意掏钱的，这些人他还没有问我们一些事情，比如说我的投资大概，回报周期多长时间，万一上不了市，我的回报周期多长时间，因为毕竟是掏钱嘛，现在国内融资是很难的一件事情，

朱学峰(01:17:31): 那这些问题怎么回答？很多人马上就会问，已经有人问我了，我回答我还不太容易回答的出来，我就说我们三年内肯定上市100%上市，其实已经带着我自己被他孵化的，因为我讲真实的案例，就德雷当时喊我来的时候是跟我，我是去了非洲，看完了之后德雷告诉我三个月回本，然后一年赚两个亿，我就开始打算盘了，我就开始算这个账，然后我觉得妈就投这点钱，一年能赚两个亿，德雷给我讲了三个月肯定回本。那我，我就是冲着点去的，

朱学峰(01:18:07): 那我们现在肯定是不能这样去讲，我们还是要用一个科学的，真相对靠谱的逻辑去跟人家去真实的反馈公司的收益。我如德雷你你马上融资，你也要注意，你肯定要跟之前那套融资逻辑，你要改变了，你不能这样子加钱，你要知道都是好人，都是好人，都不给你票的，那拉倒你，你你能理解我这意思吧，我们毕竟是上市公司的逻辑，我觉得还是要把投资回报。

朱学峰(01:18:45): 等等这一些闭环，我不知道梁总你们以前融资的时候，人家对投资回报的东西会不会去问？

朱学峰(01:18:51): 会不会？

Gavin(01:18:51): 那上市按照上市的逻辑的话，

Gavin(01:18:53): 是他要看你的故事。所以你要讲的是故事。

程志斌-永和资本(01:18:57): 一般是这样子，这个话题，朱总的新新开的这个话题，他是这么回事，比方说三年是怎么来的？是从我这边来的，三年逻辑，

朱学峰(01:19:05): 对。

程志斌-永和资本(01:19:06): 是怎么倒推的？半年到一年，这是业务的，相当于构筑底层架构，实现你的，就是说根据你的 bp 商业计划书，你你把几根重要的桩全部打下去，哪怕是数据模型还没跑的很漂亮，半年到一年，要求很高的团队，那你团队，你你现在是不是能够快速到位？梁总在 bp 里面提出来那几个关键岗位是不是能够快速到位？这是，

程志斌-永和资本(01:19:33): 第二个什么？第二个你的市场是不是如预期，假如说遇到一个卡点？它肯定会产生时间，延续效应，1年之后，那一年之后，假如这些都一切都顺利，这里面还不能出现重大的挫折的这个地方，第二年那你的，相当于你你跑到绩点，你的绩点又能够成正增长的，符合初创公司那种，正增长跟高增长的，逻辑观念，那第三年就要，第二年到第三年就要启动上市的，这些，节奏，比方说成立，那然后这那的？那整个合并差不多从从造壳四个月，四个半月吧，多说点5个月吧，

程志斌-永和资本(01:20:15): 到走流程到美国证监会，登记报备，然后。可能会有一轮到两轮的，简单的问询，当然不会像我们 ipo 问询那么苛刻了，会有一些，简单的问询，你再回复他那边，工作流差不多到最后到投标流程到完成合，合并一整个流程，这最快。最快都得就是除去像从中资企业还要走一个证监，中国证监会的报备流程。除此把这个我们踢掉之后，因为我们架构是在海外嘛，那你你最快也得要一年，这一年加前面的两年，最理想的状态是三年上市，从零到。到上市，他已经不像当年的瑞幸了，因为瑞幸是一个特殊的标板，瑞幸是18个月从零，

程志斌-永和资本(01:21:04): 18个月上市的，我们后面也看到了，它后面的结果他为了上市，为了打数据，他有为了有些流量没跑起，你看现在的瑞幸流量都是实打实的，销售数据，当年他为了造那个这造这些数据的话，他把那些票都是，都不合规嘛，后来被强制退市嘛，那这些情况这些，负面的这些，恶果我们也看到了，那所以跟投资人讲的话，我们讲三年上市是照着规划来的，理论上我们关键门来说的话，三年能做到上市。其实是一个叫既是难的，也是要非常专业，大家每天都要，精诚合作，团队各个方面哪一环都不能出现重大的，误判，和这重大的挫折的这，这样的活，理论讲的话，我们说3~5年，能够完成上市，就借着朱总刚才那个问题，我以我的工作经验我也回答一下，通常我们跟，早早期的投资人一般是这样的做这样的回复，这不是我来去做回复，这是我大量的别人回复，我比较认可的一个答案是什么？

程志斌-永和资本(01:22:11): 我们规划是多长时间上市，他的节点，我们第一年做到什么样，第二年做到。第3点做的什么？保持业绩是什么样？覆盖面怎么样？渗透率是怎么样？增长率是怎么样？我计划后面还要一轮到两轮融资，融资的节点是怎样？融资额度是多少？为什么我能融资到这些问题全部回答到，这些问题打包起来就是，佐证我上市的路径，我是能跑得通的，能在时效之内跑得通的，这是第一个单元，那第二个单元，第二个单元是什么？

程志斌-永和资本(01:22:40): 万一上市遇到重大的，这个问题的话，那我就要给他算账了，算什么账？金融资本就把它改性成产业资本了，是一门生意了，这一门生意我们本身赚不赚钱？赚钱如果赚钱的话，那大约预期，利润大概能产生多少？那我们，三年之后我们给股东的分红比例，我们章程是怎么样设定的，那他会框一框算一算，到三年之后业绩已经是成长到相当高的高度了，我即便拿分红，我也能够先把本金回来，全部回来或者说回来一半或者回来。1/3他后面也就是说放降低预期了，那我就我觉得这个事情就是它相当于是个兜底策略，就是我产业上面生意的买卖的分红，我也就当，做一门生意了，投资做，做什么生意了，这也行，这两个都是虚的，

程志斌-永和资本(01:23:33): 那就完蛋了。

朱学峰(01:23:33): 理解了，理解了。

程志斌-永和资本(01:23:37): 你当初不就是也是这样的心心理逻辑，虽然没有上升预期你肯定会在想，我投进去之后即便干的不好，他有什么两个亿，两个亿做不到。2000万做得到吧？2000万你做得到的话，我分分红，我本金也能回来了。你当时是差不多心理的。

程志斌-永和资本(01:23:52): 心理过程吧！

陈小强(01:23:54): 老朱，你放心本金没关系，本金得利还不起我个人来还你录音！

朱学峰(01:23:54): 我当时。我不是这个意思，我就跟你讲我真实内心的当时的这种感受，我不是怕这点钱是小钱，但是我们现在融这些人的时候，

陈小强(01:24:12): 主要是。

朱学峰(01:24:14): 同样这些土老板，他会有同样感受的，你能理解我讲的意思不？

程志斌-永和资本(01:24:19): 那你刚你回答我刚才那个问题，你当时是不是我两个亿，我赚不到我2000万假如说公司能搞到2000万的话，我差不多，分分红我也能够本金也回来，哪怕一年回不来，我一年半到两年回得来也行了，

朱学峰(01:24:31): 这我当时的想法还从来没想过，

程志斌-永和资本(01:24:32): 我这反正。

朱学峰(01:24:36): 通过我当时想法今年年底两个亿，然后就分红了，我没想过赚少钱的逻辑的。

程志斌-永和资本(01:24:44): 不离了，那老朱你是个好人嘛，我比方说我们讲的好人跟坏人不是绝对的，我就打个比方，假如说我们为什么梁总他有这样的担忧？假如说你遇到一些矫心的人，你知道吧，就跟你死磕到最后你就很烦的，你知道吧，那大度的人，反正没大有所谓，你总归你要给我个交代，我等着你的交代，矫心的人的话，整天跟你这那烦的要死，我跟你说。

朱学峰(01:25:11): 所以说我们现在就是从从法律文件上面，你要把所有的东西全部规避掉，然后到时，

程志斌-永和资本(01:25:16): 没问题，没问题，

朱学峰(01:25:17): 我们要肯定要跟他讲清楚，

程志斌-永和资本(01:25:18): 我们是专业的，我相信。

朱学峰(01:25:21): 这种东西投上市的和投产业的是两个逻辑，

程志斌-永和资本(01:25:25): 对，这个我们会在到时候的投资文件里面，包括我们公司的章程，的设计里面的话都会，都会把这些内容体现的我们是专业的，你放心，有梁总有我在的话，这块不会出差错，我们刚才分析的是什么，

程志斌-永和资本(01:25:43): 投资人心理，跟你达成交易的心理，包括我们，去合适的去开展工作，主要是我们分析，

朱学峰(01:25:57): 没问题。

Gavin(01:25:57): 搞一个保底的营收，投进去了之后，最差的情况下，他多少个能回本，我觉得也得有一个测算的。

朱学峰(01:26:08): 最终，我们现在因为都在外围，没到深水区，马上到深水区这些问题肯定会接踵而来的，所以说我们要提前做好准备。

Gavin(01:26:20): 你这些都是要做好测算的，

程志斌-永和资本(01:26:20): 对。对。

朱学峰(01:26:22): 因为你你你到时候回答不上来，

程志斌-永和资本(01:26:22): 比亚迪。

朱学峰(01:26:25): 又会拉长我们别人的投资决策的时间，因为，

程志斌-永和资本(01:26:30): 对，没错！

朱学峰(01:26:32): 比如说我在拿，这个例子，德雷当时跟我签了，比如说如果这个钱亏了，他是要认，这又是心理保障，那我们给这些投资人有没有绝对的保障，给他一个预期，预期还是要比较清晰的，你你们能理解我讲的意思吗？要让他能够看到一个阶段，

朱学峰(01:26:55): 阶段，一个阶段的预期，他可能才会真正从他卡里面把钱掏出来，毕竟不是掏，50万吧？很随意，你要他掏几百万，我觉得真正有几百万的，能够随意掏几百万的人，他肯定不是，不是拿自己很多钱去掏的，肯定是自己的，比如说11111可以掏得出来的钱，能挣，挣到这么多钱的人，他一定会去一环一环的去问这些问题的。你所谓的土老板，他也是肯定很精明才能挣到那么多钱。不精明的话说他不可能挣到那么多钱的。

Gavin(01:27:29): 他也有风控的，他也有律师的，这些都会去把控的，

朱学峰(01:27:31): 对。

Gavin(01:27:33): 我们一定要考虑到最坏的情况，

朱学峰(01:27:34): 对的。

Gavin(01:27:38): 就乐观的去思考是可以的，

朱学峰(01:27:38): 对的。

Gavin(01:27:40): 但是，这个一定要悲观的去执行，就把这些点还是得考虑到。一定要，我认为现阶段得尽快过去把业务盘清楚，看一下怎么样最小的，哪怕用一个最小的小程序也好，或什么也好，先跑点业务数据出来，

朱学峰(01:28:00): 现在你小程序。

Gavin(01:28:00): 然后再去让别人去肯定要去看一看，

朱学峰(01:28:03): 对的。对的。

Gavin(01:28:04): 有这2点夯实了，

朱学峰(01:28:06): 对的。

Gavin(01:28:07): 然后再给他一个靠谱的测算路径，才行，因为你现在上市什么美股上市，很多人都没搞过，因为我知道美股上市，它这个比那个要简单，但是很多人现在都怕了。因为之前很多都投了，上不了市，这个都不都亏了，他们现在来说在海外投了东西能赚钱，至少能保底能挣钱，是他们这个可能是一个底线，我们还得提供这样的一个 option 才行。

朱学峰(01:28:44): 没问题，反正这些问题我觉得我把它抛出来，但是活肯定会全力以赴的往前顶，尽量争取能够同步在8月份，能先弄个500万进来，或者能一次头妈搞，把钱搞到位，这个肯定是大家共同的初衷，

陈小强(01:29:07): Ok 的。

Gavin(01:29:10): 对，我们先这样，这个还是容人，容人，然后带他们去肯尼亚接待一下，这个很重要，因为他要看到真实的业务，看到我们在当地的业务的量，有了数据了之后，

朱学峰(01:29:27): 现在梁总现在这样子的很幸运的是什么？

Gavin(01:29:28): 再去融，

朱学峰(01:29:31): 很幸运的是长江的这帮**人正好被我们路演完之后，他们正好长江组织他们来肯尼亚玩的，所以德雷也接待了，工厂也去看过了，所以马上这一波人回来是最精准的。

Gavin(01:29:45): 对，所以说我们的目标，我们现在老朱我觉得也得收敛一点，第一个就是产业基金，他们专投非洲的专投海外的他们是有这样的认知的，他海外投过项目赚过钱的，是对于优先的，第二个是肯定也去过，就特别是去过，肯定要我们接待过的，那看到过我们的实力的，也是非常重要的，然后往上面去筛选。

朱学峰(01:30:12): 德雷你你感觉我打断一下德雷，你感觉这次这波人来你的感受什么感受？

陈德雷(01:30:20): 第一个刘静总，对我们很诧异，然后问了我好几遍，你来这里多长时间了，问了我两遍以上吧。说怎么这么快，说速度真快，那个意思，老朱投肯尼亚这一步投的太对了，他看看到现场看到实物或者说实际状况，再碰到我们人以后，刘静是非常积极的。

朱学峰(01:30:53): 那其他人？

陈德雷(01:30:55): 其他人因为他带的这波人没参加过你的路演，那这波人也是对我提出各种问题，这边做哪些生意好做，然后刘静也他们也问他说除了你们清关物流还有什么生意可以做能做的，说给我们推荐，因为那天跟我一起去的去了10301011个人。

陈德雷(01:31:20): 两台车11个人？

朱学峰(01:31:23): 里面有两个人是那天参加了我们的路演的。

陈德雷(01:31:27): 是刘静，还有一个秘书长女的。

朱学峰(01:31:30): 还有男的。

陈德雷(01:31:33): 男的是谁，我不知道。

朱学峰(01:31:36): 我不知道他叫什么名字，因为人太多了，我也记不住，但是有个男的我那天是参加的对。

陈德雷(01:31:44): 来看完之后的体感是会更好的。

朱学峰(01:31:44): 行。

程志斌-永和资本(01:31:46): 是不是？是不是发型稍微有点怪怪的？

朱学峰(01:31:51): 好像是的，

程志斌-永和资本(01:31:52): 个子不高的？

朱学峰(01:31:52): 那他们回来了吗？德雷。

陈德雷(01:31:56): 7号回去。

朱学峰(01:31:58): 那我就9号给他们接风吧！到时候来。

陈德雷(01:32:02): 我们把他们的行程单发到群里面给你看一下。

朱学峰(01:32:06): 好好好行，我知道了，行，反正这个东西，我们的速度，说实在话肯定不会让进的，我们的效率肯定董事长放心，这个效能肯定是拉满的，也就前前后后也就不到10天的时间。

陈小强(01:32:24): 我们效率老朱你这个效率是杠杠的。

程志斌-永和资本(01:32:24): 对。

朱学峰(01:32:26): 对，毕竟要1000万，10天把1000万融进来，没那么快，我估计再给我，再给我10天半个月应该会有更清晰的眉目出来。

陈小强(01:32:39): 行，你老朱你也不要压力太大，

程志斌-永和资本(01:32:40): 老朱。

陈小强(01:32:41): 我们共同去努力，然后这样的。

程志斌-永和资本(01:32:42): 老朱。

陈小强(01:32:45): 那你说。

程志斌-永和资本(01:32:47): 陈总你先说嘛！

陈小强(01:32:49): 没事，志斌你先说。

程志斌-永和资本(01:32:52): 我就插一句话，基本上是你可以这样去衡量一下，老朱这次假如说我们后面，工作出成果了，融资到位了，无论是300万还是500万还是1000万，这个数字可能没那么重要了，你可以这样给自己，

程志斌-永和资本(01:33:09): 自我认定你老牛逼了，为什么？光一个 ppt 的海外项目，你都能融得到钱，你信用，包括表达能力，包括人脉资源相当于是综合的一个评定，那超牛逼的，不是浮夸，这一般人做不到。

程志斌-永和资本(01:33:31): 也做不到？

朱学峰(01:33:33): 那不有你的配合嘛，

朱学峰(01:33:34): 还有梁 ceo 嘛**都是顶级王炸嘛**，

陈德雷(01:33:38): 哈哈哈。

朱学峰(01:33:38): 还有强董事长在那边那么大的资源，

程志斌-永和资本(01:33:39): Yeah. 

朱学峰(01:33:42): 我们一起努力，我觉得我们把目标，

Gavin(01:33:44): 对，一起努力吧，里面可能得，

朱学峰(01:33:45): 我们把目标，

Gavin(01:33:48): 前期我在去之前再跑一跑，说不定我们这个跑点跑跑一些东西出来，但是，咱们没有实际运营业务没跑起来，就很，这是没有办法，

朱学峰(01:34:02): 没关系的，

Gavin(01:34:02): 因为我现在人都还没过去，

朱学峰(01:34:03): 没关系的，梁总是这样子的，

Gavin(01:34:04): 对，

朱学峰(01:34:05): 我们反正都是自己做了这么多年生意，也都有实业在，我们把目标定高一点，没问题的就做不到，

Gavin(01:34:11): 不会对？

朱学峰(01:34:12): 我们也不要嘲笑我也，我们相互不嘲笑，但是目标和时间节点进度，我们能往前压，往前压，自己，自己给自己鞭策别人，

陈德雷(01:34:22): 对。

朱学峰(01:34:24): 我们相互鞭策，反正我的意思，还是尽量，让这个事情效能和效率要拉上来，

Gavin(01:34:32): 是的。

朱学峰(01:34:33): 我觉得大家一既然都是中老登了，我们每件事情以，高效能唯一的就是。运气，钱进来的快，我们反正一切按照非常规范的手法去运作就行了，其他的没什么问题，我觉得本来就是一件很伟大的事情，

朱学峰(01:34:54): 很好的事情，我没有问题了，我这边反正就该讲的都讲的，讲清楚了。

程志斌-永和资本(01:34:55): 对！

陈德雷(01:35:00): 同意。

Gavin(01:35:04): 好的行，

程志斌-永和资本(01:35:05): 非常棒！

Gavin(01:35:05): 明白，

程志斌-永和资本(01:35:05): 非常棒！非常棒！我们5个人的团队，

Gavin(01:35:07): 老朱辛苦！

程志斌-永和资本(01:35:09): 我觉得是互相支撑，非常棒！非常棒！

陈德雷(01:35:15): gavin gavin 你等会后，你把可分享版的 ppt 发到群里一下。

Gavin(01:35:21): 我在我今天开完会，今天晚上我得再改一个版本出来。

程志斌-永和资本(01:35:25): 对，再改一个版本，然后对，然后我们都存一下嘛，就不断更新嘛！

Gavin(01:35:29): 对是。

陈德雷(01:35:31): 对可分享，因为这样子我们可以前期做融资，比如说个人融资，我们可以提前去铺垫。

Gavin(01:35:38): 对是，好。

程志斌-永和资本(01:35:40): 强总，强总，强总！

朱学峰(01:35:42): 这个会？

程志斌-永和资本(01:35:43): 看一下董事长还有没有什么话说了。

陈小强(01:35:44): 最好加个。我的意思 ppt 加个密码。对。

朱学峰(01:35:53): 那会今天就到这？

陈小强(01:35:55): 这么说。

Gavin(01:35:56): 今天先到这，

程志斌-永和资本(01:35:57): 好。

Gavin(01:35:57): 好。

程志斌-永和资本(01:35:57): 算了。

朱学峰(01:35:57): 你们是不是马丽华有应酬？

陈小强(01:35:57): 好。

陈德雷(01:35:58): 对。

朱学峰(01:35:59): 德雷？

陈德雷(01:36:01): 我在去，我在去应酬的路上。

朱学峰(01:36:06): 那行，那回头再说，好好，那就梁总那就先这样了，

陈小强(01:36:09): Boom. 

朱学峰(01:36:11): 星期五到时候我去接你，好，拜拜！

程志斌-永和资本(01:36:16): 好，大家再见，

朱学峰(01:36:17): 好，再见。

Gavin(01:36:18): 再见。

陈德雷(01:36:18): 好好好拜拜！

程志斌-永和资本(01:36:21): 刚才董事长还有没有话讲了钱总？

陈小强(01:36:26): 我没什么，反正大家分头行动，我们的梁 ceo 把那个东西给大家分享一下，大家分头去行动，不要把压力给老朱一个人。

陈德雷(01:36:36): 对，这也是我想说的，感谢老朱这些天的7场的路演的付出，

朱学峰(01:36:43): 我他妈拿不到结果，

陈德雷(01:36:43): 你不是一个人在作战。

朱学峰(01:36:47): 所有的付出都不值得同情的哈，

Gavin(01:36:50): 那没。

程志斌-永和资本(01:36:50): 谁说的吗？

程志斌-永和资本(01:36:51): 你话我不同意！

陈小强(01:36:51): 我非常赞同这句话，

Gavin(01:36:52): 努力这个过程也很重要，对！

陈小强(01:36:53): 我非常赞同这句话。

朱学峰(01:36:55): 一切以前我为导向，我们都是，过程不重要，结果最重要到年纪了，

陈小强(01:37:01): Sur. 

朱学峰(01:37:01): **。

程志斌-永和资本(01:37:01): 个过程也蛮重要的，你天天冲，我靠，这那我是看到的，讲的都是。

朱学峰(01:37:09): 拿到结果之后我们再来讲故事，再来吹牛逼，拿不到结果，他妈的搞不好，我在表演，

陈小强(01:37:16): 高度赞同，

程志斌-永和资本(01:37:16): 没有好好好，

陈小强(01:37:17): 高度赞同！那么高度赞同高度，

Gavin(01:37:20): 好。

陈小强(01:37:20): 样子，

朱学峰(01:37:21): 行好好好就这样，

陈小强(01:37:22): 那就说好拜拜，

Gavin(01:37:22): 好。

程志斌-永和资本(01:37:23): 那就这样，

陈小强(01:37:23): 拜拜！

程志斌-永和资本(01:37:23): 拜拜，

朱学峰(01:37:24): 好拜拜，

Gavin(01:37:25): 拜拜。

陈德雷(01:37:25): 拜拜。

朱学峰(01:37:26): 拜拜！
